row_labels,average_of_value_across_the_year,std_dev_of_value_across_the_year
Store 1,2425553.722692308,242424.86206894257
Store 10,1410050.76,161375.7737198203
Store 11,1724050.6517307695,152773.90962533146
Store 12,1414398.965384616,200454.74992805498
Store 13,1668362.4382692317,164614.4564482471
Store 14,1084715.9515384613,76290.11421832757
Store 15,1739870.625192308,104120.15658717454
Store 16,755663.0255769232,54268.75083551177
Store 17,2802654.254038461,252077.50480987548
Store 18,2807266.8244230766,299437.1743975049
Store 2,3008984.0261538476,311381.46722101694
Store 3,1477004.2523076932,115575.8109650641
Store 4,2141401.9855769235,206971.8119298217
Store 5,2937922.392307692,274563.4456937669
Store 6,3261118.369423077,259363.4159231072
Store 7,1998690.302115385,166203.20685294498
Store 8,2829502.4832692314,237223.74004415487
Store 9,2221738.0969230765,308907.88674659166
