week,difference_from_previous_week
week 1,NA
week 2,10944.120000000577
week 3,11500.399999999907
week 4,-380059.4000000004
week 5,-66651.16000000015
week 6,41134.31000000099
week 7,699913.9899999998
week 8,-526934.4500000002
week 9,-69999.78000000119
week 10,213889.83000000054
week 11,595052.2600000002
week 12,-581318.56
week 13,-80613.91000000015
week 14,-116988.26999999955
week 15,587758.3799999999
week 16,-190752.8700000001
week 17,-269341.54999999935
week 18,35468.619999999646
week 19,129090.2099999995
week 20,298973
week 21,-467995.1299999999
week 22,-25272.929999999702
week 23,8293.769999999087
week 24,643998.54
week 25,-510452.3700000001
week 26,-16159.869999999646
week 27,-224289.5
week 28,566580.6099999994
week 29,-340219.3399999989
week 30,-2011.8700000001118
week 31,-45632.45999999996
week 32,140815.29000000004
week 33,531070.6600000011
week 34,-204430.98000000045
week 35,-431285.54000000004
week 36,-201585.18999999808
week 37,432607.68999999715
week 38,-361013.70999999996
week 39,-165087.48000000045
week 40,-53593.13999999873
week 41,424562.4400000004
week 42,-59396.66999999946
week 43,-208939.26999999955
week 44,-64337.87000000151
week 45,82321.8999999999
week 46,380269.9000000027
week 47,-340944.9199999962
week 48,278803.02000000095
week 49,371624.40999999037
week 50,13868.530000003055
week 51,-419036.23
week 52,193109.9299999997
