week,difference_from_previous_week,sales
week 1,NA,2707041.877307692
week 2,-442813.88999999966,2264227.9873076924
week 3,191561.41999999946,2455789.407307692
week 4,-360417.54999999935,2095371.8573076925
week 5,-88152.58000000031,2007219.2773076922
week 6,-54429.570000000065,1952789.7073076922
week 7,612214.2599999998,2565003.967307692
week 8,-206535.68999999994,2358468.277307692
week 9,-208835.71999999974,2149632.5573076922
week 10,357774.9599999995,2507407.5173076917
week 11,331697.1600000006,2839104.6773076924
week 12,-426833.1400000006,2412271.5373076918
week 13,-155880.77000000002,2256390.7673076917
week 14,-155902.23999999976,2100488.527307692
week 15,475717.93000000063,2576206.4573076926
week 16,-172048.43000000017,2404158.0273076924
week 17,33648.37000000011,2437806.3973076926
week 18,-293633.97000000067,2144172.427307692
week 19,198886.4200000004,2343058.8473076923
week 20,195574.47999999952,2538633.327307692
week 21,-219234.6200000001,2319398.7073076917
week 22,-18261.18999999948,2301137.517307692
week 23,-112884.10999999987,2188253.4073076923
week 24,446130.6599999992,2634384.0673076916
week 25,-254042.48999999976,2380341.577307692
week 26,-73420.30999999959,2306921.267307692
week 27,-192534,2114387.267307692
week 28,642742.7299999995,2757129.9973076917
week 29,-393324.9199999999,2363805.077307692
week 30,-69754.81000000006,2294050.2673076917
week 31,-119426.22000000067,2174624.047307691
week 32,225099.7600000007,2399723.807307692
week 33,283705.38000000035,2683429.187307692
week 34,-203667.1499999999,2479762.037307692
week 35,-163419.12000000104,2316342.917307691
week 36,-36657.779999999795,2279685.1373076914
week 37,356064.5200000005,2635749.657307692
week 38,-223909.23000000045,2411840.4273076914
week 39,-54599.029999999795,2357241.3973076916
week 40,-126851.56999999983,2230389.827307692
week 41,296176.8300000001,2526566.657307692
week 42,27813.19999999972,2554379.8573076916
week 43,-143694.10999999894,2410685.7473076927
week 44,-120244.75999999885,2290440.987307694
week 45,136759.27999999933,2427200.267307693
week 46,250273.34000000032,2677473.6073076935
week 47,-305951.7900000005,2371521.817307693
week 48,62532.93000000203,2434054.747307695
week 49,494097.8500000015,2928152.5973076965
week 50,4687.939999997616,2932840.537307694
week 51,-264827.45000000205,2668013.087307692
week 52,495571.98000000045,3163585.0673076925
