week,delta,sales
1,69277.9309389,2410530.0986312074
2,-58709.98183630191,2351820.1167949056
3,781.3092652941705,2352601.4260601997
4,136291.4756045665,2488892.901664766
5,174545.04279458703,2663437.944459353
6,-131633.23237841367,2531804.7120809397
7,-13385.181177289385,2518419.53090365
8,145778.50084827843,2664198.031751929
9,-55916.35535576598,2608281.6763961627
10,-5558.644786317909,2602723.031609845
11,-9618.27877482065,2593104.752835024
12,-106357.26024650603,2486747.492588518
13,-52893.68948276604,2433853.803105752
14,-2779.8829311614254,2431073.920174591
15,-49174.71248366854,2381899.207690922
16,135144.51582832698,2517043.723519249
17,-57275.680265733376,2459768.043253516
18,-51503.986399317386,2408264.056854198
19,84875.70891397241,2493139.765768171
20,-126715.81317760462,2366423.952590566
21,-4138.041401965796,2362285.9111886
22,-186476.98026608326,2175808.930922517
23,141635.46777274215,2317444.3986952594
24,-32251.654754929783,2285192.743940329
25,-55688.95088084595,2229503.7930594836
26,-148666.76807478318,2080837.0249847001
27,-163.05362030329638,2080673.971364397
28,-95809.63104053031,1984864.3403238668
29,-63611.66605584923,1921252.6742680175
30,156178.89294639765,2077431.5672144152
31,-20409.903988330258,2057021.6632260848
32,-128576.07323472337,1928445.5899913614
33,20470.606992940036,1948916.1969843016
34,-43003.95329787556,1905912.243686426
35,71980.46081457814,1977892.704501004
36,173647.88075952168,2151540.585260526
37,-119030.98378734977,2032509.601473176
38,55643.92766134126,2088153.5291345173
39,11019.779739817408,2099173.3088743347
40,108856.50304168138,2208029.811916016
41,-26957.426921314476,2181072.3849947015
42,101742.44753451944,2282814.832529221
43,-209831.17347920677,2072983.6590500143
44,204668.80670980507,2277652.4657598194
45,105140.85121009321,2382793.3169699125
46,-17422.92446396669,2365370.3925059456
47,-174102.05277888125,2191268.3397270646
48,78376.26658828744,2269644.606315352
49,59088.75419069128,2328733.3605060433
50,6.680929717809818,2328740.041435761
51,19052.419776783103,2347792.4612125442
52,-69720.41729743908,2278072.043915105
53,45283.75796549537,2323355.8018806004
54,36334.55630599691,2359690.3581865975
55,-32929.14985015633,2326761.208336441
56,-160492.1652944806,2166269.0430419603
57,85344.72631162485,2251613.7693535853
58,67657.83711425414,2319271.6064678393
59,-100157.29590340296,2219114.3105644365
60,-191671.7354396261,2027442.5751248104
61,25509.478315062726,2052952.0534398733
62,-40873.78163714838,2012078.2718027248
63,31260.57263170911,2043338.8444344338
64,-155395.06372962543,1887943.7807048084
65,-114985.31886102272,1772958.4618437858
66,131812.21708656236,1904770.678930348
67,49503.94845932991,1954274.627389678
68,71554.9184328326,2025829.5458225105
69,219847.50555196786,2245677.0513744783
70,16320.742791501101,2261997.7941659796
71,-240711.66640424004,2021286.1277617395
72,41056.161765182216,2062342.2895269217
73,142136.99045024102,2204479.279977163
74,249332.54974912005,2453811.829726283
75,-165395.05239158333,2288416.7773346994
76,-138119.14823356568,2150297.629101134
77,-84409.47840199077,2065888.150699143
78,-126436.70954777823,1939451.4411513647
79,-77158.90728169559,1862292.5338696693
80,-21598.920326823958,1840693.6135428452
81,-144197.70907917374,1696495.9044636716
82,246609.00570769588,1943104.9101713672
83,13780.689673155872,1956885.5998445232
84,-9377.002358049791,1947508.5974864734
85,60588.37931204306,2008096.9767985165
86,5289.232346317069,2013386.2091448335
87,-15167.538712296087,1998218.6704325376
88,179002.20249131965,2177220.872923857
89,-25418.922476903732,2151801.9504469535
90,-154139.8913358836,1997662.05911107
91,47318.67410993137,2044980.7332210012
92,-41649.18056517617,2003331.552655825
93,-62200.086795495146,1941131.4658603298
94,-128135.42424379903,1812996.0416165309
95,52471.752954945965,1865467.7945714768
96,-20227.952517729078,1845239.8420537477
97,63007.9151732105,1908247.7572269582
98,-27511.03314505422,1880736.724081904
99,-78698.83266926318,1802037.891412641
100,151660.54984859517,1953698.441261236
101,-32024.524194147467,1921673.9170670887
102,115178.84223016894,2036852.7592972575
103,-144241.20204710212,1892611.5572501554
104,-55480.256162638136,1837131.3010875173
105,-31733.389452220712,1805397.9116352964
106,-46410.57361360592,1758987.3380216905
107,163544.61054192187,1922531.9485636125
108,-1973.6748532316337,1920558.2737103808
109,30248.512467166085,1950806.786177547
110,-112957.936131899,1837848.850045648
111,-87233.04829041917,1750615.8017552285
112,121227.28302238515,1871843.0847776139
113,152655.61833342258,2024498.7031110364
114,151494.8573453865,2175993.560456423
115,-165850.69884582577,2010142.861610597
116,248176.54708723832,2258319.4086978356
117,123496.6647186803,2381816.0734165157
118,-2450.720439724511,2379365.352976791
119,85689.76457374921,2465055.1175505402
120,-116459.47994816571,2348595.637602375
121,-131517.6716997693,2217077.9659026056
122,6693.453129291825,2223771.419031897
123,-143868.6939180733,2079902.725113824
124,23706.470657074802,2103609.195770899
125,157389.45867568444,2260998.6544465832
126,-124001.00505043865,2136997.649396145
127,-88346.1986383761,2048651.4507577685
128,6393.3644625615525,2055044.81522033
129,-122036.51614720936,1933008.2990731206
130,-45483.52558886408,1887524.7734842566
131,106103.62065295811,1993628.3941372146
132,117784.83059795221,2111413.224735167
133,47098.87657032175,2158512.1013054885
134,-222684.27457242052,1935827.826733068
135,-5742.963654349356,1930084.8630787188
136,129277.60022160884,2059362.4633003275
137,98915.4804022746,2158277.9437026023
138,-22255.275285014748,2136022.6684175874
139,-325071.6826212882,1810950.9857962993
140,8131.577564891501,1819082.5633611907
141,70017.8730436079,1889100.4364047986
142,6301.599217334477,1895402.0356221332
143,19771.307407108947,1915173.343029242
144,52857.88612676289,1968031.229156005
145,-47084.527274726606,1920946.7018812783
146,158870.56423692795,2079817.2661182063
